model,window_seconds,inner_k,outer_k,patient_roc_auc,patient_pr_auc,patient_balanced_accuracy,patient_f1,patient_mcc,average_features_per_fold,unique_feature_count,mean_pairwise_jaccard,kuncheva_index_mean
Hybrid CNN-LSTM,6,1,10,0.8163265306122449,0.5786641929499072,0.7857142857142857,0.7142857142857143,0.5714285714285714,1.0,7,0.19047619047619047,0.18721198156682026
Linear SVM,8,30,10,0.5102040816326531,0.4110644257703081,0.6428571428571428,0.5333333333333333,0.2773500981126146,30.0,103,0.3598228415857385,0.4315068493150685
