metric_key,x_field,model,model_label,x_value,mean_value,ci_low,ci_high,n
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,1,0.3019047619047619,0.16187738680339905,0.44193213700612477,5
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,5,0.25159486016628874,0.24459980724067776,0.2585899130918997,5
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,10,0.22764082813839556,0.21754328766128242,0.2377383686155087,5
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,15,0.2541836109624619,0.25044644154107615,0.25792078038384764,5
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,20,0.2966843499063582,0.2828985006865547,0.31047019912616175,5
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,25,0.33684169367487055,0.32798005849666706,0.34570332885307403,5
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,30,0.3626023019331856,0.35634689954627874,0.36885770432009246,5
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,35,0.3838916193758619,0.3750021668510141,0.3927810719007097,5
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,40,0.40773042183223956,0.3969828636119858,0.4184779800524933,5
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,45,0.42292497151039843,0.41204934680987965,0.4338005962109172,5
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,50,0.438135220342159,0.42524831857517664,0.4510221221091414,5
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,55,0.4545112570635915,0.44538082799255346,0.4636416861346296,5
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,60,0.4732203244725576,0.46436694032097225,0.4820737086241429,5
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,65,0.4894153190471345,0.4831296310525997,0.49570100704166925,5
feature_selection_mean_pairwise_jaccard,inner_k,shared_feature_selection,Shared feature selection,70,0.5063221992498803,0.4984192417150368,0.5142251567847238,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,1,7.2,6.177789062864225,8.222210937135776,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,5,31.8,30.6371400772234,32.9628599227766,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,10,53.8,51.176234156789135,56.42376584321086,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,15,68.2,65.69610479452514,70.70389520547486,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,20,77.4,76.08811707839457,78.71188292160544,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,25,91.0,89.16135702214922,92.83864297785078,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,30,102.6,101.17579327343253,104.02420672656746,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,35,113.2,111.69194588956496,114.70805411043504,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,40,121.8,120.51175654474784,123.08824345525215,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,45,130.0,129.039800020829,130.960199979171,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,50,136.2,135.54405853919727,136.8559414608027,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,55,143.6,141.55557812572843,145.64442187427156,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,60,151.4,149.43217561759187,153.36782438240814,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,65,159.8,158.10032850232759,161.49967149767244,5
feature_selection_unique_feature_count,inner_k,shared_feature_selection,Shared feature selection,70,167.0,165.76038715721398,168.23961284278602,5
